"decile","n","predicted_mean","observed_mean","observed_count","standardized_mortality_ratio"
"[0.278,0.569]",136,0.509511175518241,0.404411764705882,55,0.793725013577065
"(0.569,0.633]",136,0.600745573688322,0.580882352941177,79,0.966935718518584
"(0.633,0.675]",136,0.655034595315893,0.610294117647059,83,0.931697534773322
"(0.675,0.712]",136,0.69400911707574,0.632352941176471,86,0.911159415082236
"(0.712,0.747]",136,0.729552517503544,0.639705882352941,87,0.876846926033441
"(0.747,0.78]",136,0.761824733431795,0.705882352941177,96,0.926567912492662
"(0.78,0.814]",136,0.796187915752866,0.727941176470588,99,0.914283125965627
"(0.814,0.843]",136,0.82804854145936,0.764705882352941,104,0.923503688570258
"(0.843,0.881]",136,0.862671072132691,0.823529411764706,112,0.954627364203579
"(0.881,0.995]",136,0.919950963135574,0.860294117647059,117,0.935152146278341
